,Number of Bachelor's Degrees,Percent Financial Aid,Average Amount of Aid,Retention Rate,Enrollment,Percent Women,Percent In State,Percent Out of State,Percent Foreign,Percent Unknown,Graduation Rate,Percent Awarded,Total Staff,Instructional Staff,SA Staff,Librarian Staff,Percent Books,Percent Digital,Percent Admitted,Total Price
110,22.0,100.0,22603.0,73.0,83,54.0,29.0,71.0,0.0,0.0,69.0,58.0,18.0,8.0,4.0,5.0,83,17,39.0,34756.0
111,343.0,98.0,9014.0,71.0,1597,61.0,86.0,14.0,0.0,0.0,46.0,30.0,336.0,140.0,0.0,7.0,86,1,92.0,38762.0
112,27.0,100.0,32455.0,61.0,142,56.0,13.0,84.0,3.0,0.0,63.0,55.0,98.0,37.0,0.0,3.0,23,50,59.0,56458.0
113,192.0,84.0,17045.0,54.0,735,49.0,68.0,12.0,20.0,0.0,33.0,24.0,123.0,42.0,5.0,6.0,11,74,64.0,55822.0
114,412.0,98.0,17484.0,68.0,2063,78.0,24.0,72.0,3.0,1.0,48.0,35.0,403.0,186.0,10.0,17.0,12,70,78.0,58110.0
115,288.0,100.0,7761.0,70.0,1277,62.0,72.0,27.0,0.0,0.0,56.0,39.0,349.0,117.0,41.0,48.0,32,45,74.0,34910.0
116,386.0,100.0,22203.0,80.0,1603,100.0,85.0,9.0,6.0,0.0,61.0,51.0,464.0,162.0,39.0,50.0,23,48,63.0,50796.0
117,640.0,53.0,48613.0,96.0,2564,53.0,4.0,85.0,1.0,10.0,91.0,86.0,1182.0,336.0,43.0,62.0,38,42,17.0,71980.0
118,163.0,100.0,31896.0,79.0,799,52.0,44.0,47.0,5.0,4.0,64.0,68.0,286.0,93.0,0.0,5.0,24,26,59.0,56631.0
119,196.0,100.0,30968.0,73.0,914,50.0,71.0,27.0,2.0,0.0,57.0,47.0,281.0,98.0,17.0,24.0,11,11,69.0,49590.0
120,547.0,100.0,28466.0,81.0,2139,61.0,69.0,30.0,1.0,0.0,68.0,67.0,500.0,212.0,5.0,12.0,49,43,73.0,60164.0
121,392.0,95.0,20025.0,75.0,2206,0.0,23.0,76.0,1.0,0.0,54.0,38.0,367.0,155.0,6.0,6.0,12,3,58.0,48500.0
122,538.0,75.0,34470.0,92.0,2208,100.0,17.0,55.0,28.0,0.0,83.0,77.0,932.0,229.0,56.0,78.0,36,51,51.0,66558.0
123,568.0,95.0,33530.0,88.0,2340,61.0,27.0,71.0,2.0,0.0,82.0,81.0,631.0,236.0,24.0,25.0,20,56,62.0,67535.0
124,213.0,99.0,12529.0,76.0,808,62.0,77.0,19.0,3.0,2.0,60.0,54.0,318.0,100.0,4.0,12.0,82,13,77.0,43678.0
126,665.0,88.0,31024.0,89.0,2785,57.0,6.0,81.0,13.0,0.0,86.0,72.0,1030.0,336.0,29.0,74.0,62,16,36.0,74636.0
127,474.0,75.0,38770.0,90.0,1930,58.0,37.0,56.0,7.0,0.0,85.0,76.0,710.0,212.0,33.0,52.0,19,62,37.0,74132.0
128,217.0,99.0,30402.0,80.0,1264,57.0,81.0,17.0,2.0,0.0,54.0,34.0,190.0,80.0,9.0,14.0,11,78,62.0,55250.0
129,299.0,100.0,33663.0,77.0,1561,54.0,53.0,36.0,8.0,2.0,67.0,61.0,459.0,183.0,27.0,43.0,32,40,69.0,61910.0
130,22.0,72.0,6143.0,60.0,126,43.0,73.0,14.0,5.0,9.0,29.0,16.0,17.0,6.0,3.0,4.0,98,0,70.0,21877.0
131,186.0,99.0,29997.5,72.0,1351,40.0,89.0,9.0,2.0,0.0,47.0,18.0,196.0,94.0,3.0,5.0,40,27,87.0,41226.0
132,33.0,100.0,30529.0,64.0,373,43.0,56.0,44.0,0.0,0.0,38.0,23.0,124.0,52.0,13.0,18.0,40,47,41.0,48290.0
133,264.0,48.0,36748.0,91.0,1072,56.0,34.0,58.0,8.0,0.0,84.0,83.0,334.0,105.0,37.0,41.0,29,62,13.0,72900.0
134,392.0,61.0,53449.0,97.0,1573,51.0,26.0,74.0,0.0,0.0,94.0,92.0,767.0,228.0,61.0,65.0,29,62,8.0,71996.0
135,199.0,100.0,32902.0,76.0,1080,53.0,72.0,26.0,2.0,0.0,66.0,59.0,329.0,111.0,4.0,10.0,19,64,69.0,52910.0
136,97.0,99.0,28186.0,88.0,447,45.0,11.0,72.0,17.0,0.0,75.0,60.0,312.0,72.0,16.0,22.0,29,67,92.0,43080.0
137,22.0,100.0,21865.0,77.0,171,45.0,80.0,17.0,0.0,3.0,33.0,56.0,36.0,12.0,0.0,1.0,23,51,88.0,45929.0
138,27.0,96.0,9526.0,41.0,295,41.0,73.0,26.0,0.0,1.0,23.0,39.0,45.0,23.0,2.0,3.0,97,1,50.0,27656.0
139,119.0,100.0,30563.0,65.0,600,63.0,75.0,23.0,1.0,1.0,59.0,54.0,262.0,68.0,5.0,13.0,17,63,87.0,57115.0
140,332.0,100.0,27640.0,86.0,1488,53.0,77.0,20.0,3.0,0.0,66.0,52.0,400.0,127.0,29.0,39.0,15,55,67.0,55860.0
141,343.0,60.0,41067.0,88.0,1483,54.0,6.0,84.0,10.0,0.0,81.0,66.0,525.0,170.0,24.0,48.0,22,63,35.0,73207.0
142,492.0,96.0,32069.0,90.0,2008,56.0,28.0,68.0,4.0,0.0,85.0,76.0,531.0,198.0,12.0,18.0,57,17,45.0,63040.0
143,157.0,99.0,31602.0,79.0,807,53.0,70.0,29.0,0.0,0.0,68.0,57.0,174.0,65.0,6.0,9.0,36,40,69.0,54558.0
144,439.0,100.0,32655.0,78.0,2014,58.0,54.0,44.0,2.0,0.0,67.0,57.0,473.0,187.0,9.0,13.0,11,16,72.0,61095.0
